50 epochs (swin inserted in each concatination layer
(DUTRGB-D Dataset)Emeasure: 0.933; Smeasure 0.885; weightedF: 0.873; Fmeasure 0.888; MAE: 0.040.
(NLPR Dataset)Emeasure: 0.941; Smeasure 0.891; weightedF: 0.849; Fmeasure 0.862; MAE: 0.029.
(NJU2K Dataset)Emeasure: 0.899; Smeasure 0.872; weightedF: 0.844; Fmeasure 0.862; MAE: 0.049.
(SIP Dataset)Emeasure: 0.978; Smeasure 0.928; weightedF: 0.907; Fmeasure 0.916; MAE: 0.018.

100 epochs
(NJU2K Dataset)Emeasure: 0.881; Smeasure 0.857; weightedF: 0.820; Fmeasure 0.840; MAE: 0.057.
(SIP Dataset)Emeasure: 0.924; Smeasure 0.865; weightedF: 0.789; Fmeasure 0.810; MAE: 0.047.
